0,40.7338007,-74.0021484,bar,379817,23.756470501324863
1,40.7120257,-73.951117,bar,4209,38.210668332577
2,40.6611793,-74.2771572,bar,130444,27.036941811930195
3,40.6597534,-74.2799124,bar,193688,30.279950431868336
5,40.7189211,-73.9452678,bar,2688,14.449959270511412
6,40.7170577,-74.3580521,bar,221648,23.871941430937092
7,40.7351498,-73.674781,bar,147480,25.441396484587262
8,40.7157341,-74.0425368,bar,425568,5.106849794708826
10,40.7150889,-74.0103445,bar,259201,38.06691519303276
11,40.6825193,-73.9614701,bar,127499,19.965403720734226
12,40.6762072,-73.9835922,bar,274504,21.37851687458253
13,40.7209114,-73.9569205,bar,166572,25.53895694462427
14,40.9412702,-73.9615071,bar,327129,36.08321753720701
15,40.7545379,-73.9770283,bar,165428,21.496956506180556
16,40.7526584,-73.9746018,bar,251177,43.123351687902506
17,40.7649759,-73.9880847,bar,1535,26.543251015969112
18,40.8180235,-74.1538528,bar,120639,17.958132206860405
19,40.8065651,-74.1599615,bar,80019,29.04707038575942
20,40.8155633,-74.1624221,bar,385170,50.541104159555054
21,40.6774342,-73.9638702,bar,197277,17.066735204331472
22,40.9425373,-73.9874169,bar,35717,69.59999779972982
23,40.6830972,-73.935249,bar,433164,42.404189738965776
24,40.681699,-73.9346752,bar,2565,39.962167192156016
25,40.7555936,-73.982172,bar,50693,92.51624169065241
26,40.7531379,-73.9967415,bar,422052,45.30136894893148
27,40.7701833,-73.912192,bar,167155,16.413090713507703
30,40.6789538,-73.7605402,bar,24617,60.060808645100295
31,40.6995312,-73.9921773,bar,46202,13.498542814972463
32,40.7159784,-74.0360154,bar,425123,10.14324286615723
33,40.7446199,-74.0030314,bar,127332,25.295420670147614
34,40.7616428,-73.9866561,bar,190821,7.662136724511755
35,40.6725818,-73.9832797,bar,191045,16.73864111026651
36,40.7874047,-73.7283714,bar,387700,36.01112490984817
38,40.7070572,-73.9543715,bar,3859,25.291122023162973
39,40.729763,-73.9574255,bar,197381,19.18246850729706
40,40.7614413,-73.9094062,bar,354406,7.413251496615269
41,40.7458336,-73.8901305,bar,350495,48.438122415928994
42,40.748071,-73.9860508,bar,1662,90.89935425772826
43,40.9065092,-73.9039566,bar,11996,41.03892914487027
44,40.7719194,-73.9818733,bar,293498,15.045910325765687
45,40.7844481,-73.9776492,bar,190809,17.1771270288504
46,40.7259033,-74.0094874,bar,165279,35.12194234924508
47,40.7371272,-73.9846044,bar,1173,20.027211744152446
48,40.7210779,-73.9842186,bar,277886,36.74327557635544
49,40.7112802,-73.9609591,bar,127696,39.67645466536428
50,40.7105361,-73.9583554,bar,183386,21.134839039833665
51,40.7402557,-74.0055355,bar,54926,27.682346891889676
52,40.7224339,-73.9899014,bar,238190,30.46817173192575
53,40.714362,-73.9981472,bar,276350,49.17365496776489
54,40.7618244,-73.9109732,bar,354399,10.089223032540406
55,40.7634117,-73.9134101,bar,354390,17.547475548172706
56,40.8032214,-73.9639173,bar,196271,20.445712055653416
57,40.7524774,-73.984652,bar,298877,77.04018690233815
58,40.7110056,-73.9453695,bar,274634,30.84307485196467
59,40.7300079,-73.9577527,bar,197381,19.602565834304393
60,40.7078526,-73.8311564,bar,23499,21.984103242959474
61,40.8162456,-73.9906916,bar,251737,38.351075487142786
62,40.7300934,-73.9564221,bar,197381,101.5847022774762
63,40.7205705,-73.9549076,bar,166429,13.381504314975425
64,40.7368488,-73.9552028,bar,6866,31.472133845918915
65,40.7590985,-73.9195734,bar,352641,24.968053449605698
66,40.7584418,-73.8923597,bar,20075,18.592826722479053
67,40.7807398,-73.9810582,bar,180322,30.04477101455259
68,40.7210499,-73.9407121,bar,5717,21.95834151083322
69,40.7304989,-73.9901675,bar,1747,15.813259905550888
70,40.7230307,-74.0029728,bar,187599,30.443181439823814
71,40.8003071,-73.9683595,bar,311,34.253491124754945
72,40.7470196,-73.9528397,bar,202921,18.57711691373837
73,40.7219806,-73.957629,bar,237805,31.91370087467245
74,40.7499096,-73.99538,bar,161221,20.011265748921744
75,40.7250437,-73.981466,bar,261908,11.460673405950727
76,40.7422344,-73.9986032,bar,1235,118.49828800956409
77,40.7150021,-73.9516171,bar,3684,13.18196948621565
78,40.7158872,-73.9621335,bar,166048,19.26525514251456
79,40.7163751,-73.9615756,bar,166579,12.899158952837247
80,40.7383522,-73.9929398,bar,1182,77.25730105757279
81,40.7386753,-73.9937002,bar,57152,50.410096181030404
82,40.7299726,-73.9809089,bar,274418,27.863974691524973
83,40.7291488,-73.9784016,bar,265808,31.754264889877977
84,40.6773847,-73.9984641,bar,5886,28.582664958523853
85,40.7297146,-73.9887321,bar,54419,11.739493794047986
86,40.6790935,-73.9835432,bar,204390,70.36163610549278
87,40.6422503,-74.0767143,bar,30657,25.966654738288074
88,40.7153863,-73.990065,bar,165460,32.999570621616165
89,40.7344923,-74.0029504,bar,165591,26.628466633115675
90,40.6858219,-73.9884647,bar,166549,16.490158534540896
91,40.7788159,-73.9141316,bar,237150,24.018285676426437
92,40.6907804,-73.9957071,bar,5893,44.409843120759184
93,40.7940846,-73.9728865,bar,1886,29.502234087266732
94,40.7318319,-73.9855738,bar,127408,22.215566733537166
95,40.7126763,-73.7844901,bar,251565,20.41870726194473
96,40.719827,-73.9994807,bar,165457,44.711467410479024
97,40.6878726,-73.9956517,bar,5947,13.606674316522295
98,40.725928,-73.9834617,bar,261930,2.2519869582209755
99,40.7272107,-73.9828647,bar,261916,13.509081606328417
100,40.7445195,-73.9904827,bar,274389,84.82179461224874
101,40.7451365,-73.9900429,bar,467,84.1096097048047
